expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.613296,-,-,0.5,-,-,-
non-skill BestLR+,0.692094,0.078798,0.009653,0.749687,0.249687,0.011747,TRUE
XNLR,0.691638,0.078342,0.009828,0.749708,0.249708,0.011627,TRUE
item ID,0.671607,0.058311,0.010867,0.660233,0.160233,0.008624,TRUE
XNLR+,0.692113,0.078817,0.008494,0.749766,0.249766,0.011711,TRUE
non-skill Best-LR,0.673915,0.060619,0.016925,0.683844,0.183844,0.015849,TRUE
