expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.808993,-,-,0.5,-,-,-
XNLR,0.84064,0.03164700000000009,0.005791,0.86617,0.36617,0.008955,True
XNLR+,0.840606,0.031613,0.004758,0.866616,0.36661600000000005,0.008804,True
non-skill BestLR+,0.840939,0.03194600000000003,0.005264,0.86666,0.36666,0.009067,True
non-skill Best-LR,0.831095,0.022102000000000066,0.005655,0.822348,0.32234799999999997,0.008626,True
item ID,0.826114,0.017121000000000053,0.009068,0.798049,0.298049,0.013316,True
