expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.843749,-,-,0.5,-,-,-
non-skill BestLR+,0.864367,0.020618000000000025,0.006181,0.8414,0.34140000000000004,0.00742,True
XNLR+,0.864562,0.02081300000000008,0.006022,0.84144,0.34143999999999997,0.007303,True
XNLR,0.864387,0.020638000000000045,0.006067,0.841424,0.34142399999999995,0.007375,True
non-skill Best-LR,0.86023,0.01648100000000008,0.005555,0.809854,0.30985399999999996,0.007732,True
item ID,0.858508,0.014759000000000078,0.005591,0.784095,0.284095,0.006137,True
